"","x"
"1",0.0209603825341112
"2",0.0560117955294935
"3",0.0423908950428654
"4",0.0749347632213582
"5",0.0296304297213805
"6",0.0269599840443083
"7",0.0114771243872216
"8",0.0234061798961622
"9",0.0293782265245721
"10",0.0174521757911042
"11",0.0120882310118245
"12",0.0555071912072365
"13",0.0310667039269632
"14",0.0224161620614174
"15",0.00751174369004789
"16",0.0349740604934185
"17",0.0245062320311731
"18",0.0188669490795666
"19",0.0375140784291375
"20",0.019054031020423
"21",0.0161719122063258
"22",0.0272515962572151
"23",0.0228782626426087
"24",0.0707097057854103
"25",0.0150922711136881
"26",0.0440876531345213
"27",0.0196117472577001
"28",0.0300241067486717
"29",0.01834343088669
"30",0.0208813344118284
"31",0.0457340700625365
"32",0.049401153294747
"33",0.0100917579576567
"34",0.0357439973548656
"35",0.00208397686985092
"36",0.0509064939625386
"37",0.0079581996753242
"38",0.0376356142243059
"39",0.0268375615867287
"40",0.0213298901199412
"41",0.00896793935010606
"42",0.0303504657568231
"43",0.0262396497522377
"44",0.0409054336521643
"45",0.038630492163653
"46",0.0420932893419365
"47",0.0416787586456516
"48",0.0325421016301541
"49",0.0509215092669294
"50",0.0185599989533386
"51",0.0207548357875668
"52",0.0296193853276623
"53",0.0537410221046482
"54",0.0411995019178576
"55",0.0198098144204437
"56",0.0465357383961565
"57",0.0670896213981492
"58",0.0187048180635016
"59",0.0477923796100791
"60",0.0413748020840628
"61",0.0187651991237451
"62",0.017610843920002
"63",0.049404944418839
"64",0.0363795769766678
"65",0.0148535044664294
"66",0.0758163740599685
"67",0.0126382282238841
"68",0.0380223704537364
"69",0.0460061355186091
"70",0.0289599248887351
"71",0.0255869320741081
"72",0.0219886648332345
"73",0.0424345948297386
"74",0.0301283855194196
"75",0.0178739024442367
"76",0.0282762689977194
"77",0.0245372588462952
"78",0.0246148022292533
"79",0.018944662687069
"80",0.0478271169405842
"81",0.0382318599459114
"82",0.018603486605944
"83",0.0400768711613968
"84",0.0494689462488805
"85",0.0304711602892879
"86",0.0196879443832261
"87",0.0233297554330693
"88",0.0111115899499151
"89",0.0270063031013292
"90",0.00904855763906009
"91",0.00522006222900836
"92",0.0349261251217456
"93",0.0687356205426207
"94",0.0452803742074742
"95",0.0153918973010385
"96",0.0321430385435269
"97",0.0195462012109093
"98",0.0276018979006092
"99",0.0132591043101628
"100",0.0177329074073541
"101",0.0293388588989621
"102",0.0177689807715535
"103",0.0168005146175462
"104",0.0281192619472453
"105",0.0159767532209445
"106",0.0341606232910528
"107",0.0432017888205913
"108",0.00638505446007596
"109",0.0129292624039001
"110",0.0370327813000896
"111",0.0139347905845754
"112",0.03344250137736
"113",0.0289711864623866
"114",0.0213785224152427
"115",0.0183003002239413
"116",0.0308413718550169
"117",0.0258942244423627
"118",0.0376745023209081
"119",0.0350940242171053
"120",0.0194606984683203
"121",0.0142005835043167
"122",0.034378826002412
"123",0.011720514116337
"124",0.048096646403106
"125",0.0660983549391776
"126",0.032833376933246
"127",0.0285405184719054
"128",0.0281687499519012
"129",0.0284113526357439
