"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight"
"1","GTR","relaxed_log_normal","birth_death",-8230.14586602215,6.56221116741466,1.68698195487984e-21
"2","GTR","relaxed_log_normal","coalescent_bayesian_skyline",-8314.80524313244,1.11819067445834,2.88409868641322e-58
"3","GTR","relaxed_log_normal","coalescent_constant_population",-8204.64021013163,5.76008537551097,0.000000000201407689644179
"4","GTR","relaxed_log_normal","coalescent_exp_population",-8225.52141182594,7.12015376890536,1.71982942974389e-19
"5","GTR","relaxed_log_normal","yule",-8207.40011596072,5.23226736791899,1.2748649334183e-11
"6","GTR","strict","birth_death",-8198.71314141604,4.13778113853677,0.0000000755386614301578
"7","GTR","strict","coalescent_bayesian_skyline",-8243.59581767865,4.87446329327529,2.43147971538351e-27
"8","GTR","strict","coalescent_constant_population",-8206.18140002361,5.28709977104624,4.31266557375524e-11
"9","GTR","strict","coalescent_exp_population",-8273.66135274648,3.39898422478362,2.13095694650796e-40
"10","GTR","strict","yule",-8256.3133639487,5.95692312155824,7.28971387523511e-33
"11","HKY","relaxed_log_normal","birth_death",-8200.51964323595,5.13673354573616,0.0000000124055354121579
"12","HKY","relaxed_log_normal","coalescent_bayesian_skyline",-8203.10187075999,4.83585551271991,0.000000000937925509941646
"13","HKY","relaxed_log_normal","coalescent_constant_population",-8201.00940188822,5.0525533463828,0.00000000760179288151755
"14","HKY","relaxed_log_normal","coalescent_exp_population",-8195.86799975681,4.59359738924544,0.0000012995667989547
"15","HKY","relaxed_log_normal","yule",-8191.79948752862,3.1224613376327,0.000075985551134284
"16","HKY","strict","birth_death",NA,NA,0
"17","HKY","strict","coalescent_bayesian_skyline",-8213.33458462366,6.21493144475635,3.37409403586385e-14
"18","HKY","strict","coalescent_constant_population",-8204.69619892042,5.00121095970035,0.000000000190440987889379
"19","HKY","strict","coalescent_exp_population",-8223.09804628476,6.61784637197382,1.94061622684493e-18
"20","HKY","strict","yule",-8216.68415100298,6.56824714525085,1.18429252163661e-15
"21","JC69","relaxed_log_normal","birth_death",-8194.05666370396,4.01787730026443,0.00000795155120858788
"22","JC69","relaxed_log_normal","coalescent_bayesian_skyline",-8200.04796003987,4.71544266561002,0.0000000198822221526228
"23","JC69","relaxed_log_normal","coalescent_constant_population",-8206.85174365329,4.89627483296252,2.20606976589822e-11
"24","JC69","relaxed_log_normal","coalescent_exp_population",-8194.57152008896,4.15503568491071,0.00000475173894729245
"25","JC69","relaxed_log_normal","yule",-8197.6455193019,4.2106223386401,0.000000219700819891475
"26","JC69","strict","birth_death",-8195.48649516289,4.4423220552697,0.00000190319788988173
"27","JC69","strict","coalescent_bayesian_skyline",-8199.15304027706,4.58871629332313,0.0000000486545697859185
"28","JC69","strict","coalescent_constant_population",-8199.9656175663,4.65394752237873,0.0000000215886658295583
"29","JC69","strict","coalescent_exp_population",-8187.38101333394,3.20335960636633,0.00630449027295502
"30","JC69","strict","yule",-8182.33368559072,2.70628725078948,0.981017074359577
"31","TN93","relaxed_log_normal","birth_death",-8207.77276021337,5.50628889635585,8.78267541999722e-12
"32","TN93","relaxed_log_normal","coalescent_bayesian_skyline",-8206.16347954123,6.22054217971993,4.39064726906114e-11
"33","TN93","relaxed_log_normal","coalescent_constant_population",-8196.2046191209,4.76557474409189,0.000000928125436466009
"34","TN93","relaxed_log_normal","coalescent_exp_population",-8188.43678565628,3.69050691598365,0.00219348104229281
"35","TN93","relaxed_log_normal","yule",-8186.88134867432,2.93746239445422,0.0103908621539535
"36","TN93","strict","birth_death",-8202.73026619183,5.6462808898818,0.00000000136004776617928
"37","TN93","strict","coalescent_bayesian_skyline",-8204.18394713174,5.19729838127509,0.000000000317854636515843
"38","TN93","strict","coalescent_constant_population",-8235.30373875098,3.8145912132463,9.70677074625429e-24
"39","TN93","strict","coalescent_exp_population",-8196.27629518995,4.28309216168294,0.000000863929201905096
"40","TN93","strict","yule",-8233.12314125436,4.24764883017696,8.59203886121279e-23
